open,high,low,close,volume
38.9,38.9,38.07,38.35,302588
38.47,38.94,38.11,38.6,260004
38.1,39.04,38.1,38.48,259385
37.65,39.1,37.26,38.55,774300
37.65,37.89,37.18,37.5,216607
37.49,38.04,36.54,37.62,245990
38.39,38.39,36.85,37.34,370071
36.98,38.55,36.98,38.1,342060
37.76,38.64,35.65,36.88,565906
39,39,37.7,37.8,367027
39.19,39.2,38.45,39.05,310419
38.78,39.36,38.41,38.95,446954
38.98,39,37.6,38.34,421258
38.95,39.05,38.32,38.99,245471
38.6,39.17,38,38.85,204992
38.37,38.77,37.67,38.33,471059
38.79,38.79,37.83,38.17,307431
37.45,39.36,36.86,38.39,654309
37.9,37.9,36.57,37.39,211012
37.7,37.98,37.18,37.75,467884
36.3,37.79,35.87,37.2,440385
35.99,37.34,35.87,35.97,435964
36.6,37,36.1,36.57,503865
35.4,36.2,34.78,35.85,297781
35.25,35.5,34.23,35.14,361065
35.19,36.28,34.8,35.37,558041
34.46,35.43,34,34.85,437545
33.7,35.16,33.7,34.9,512399
33.7,34.31,33.26,33.85,393142
32.6,33.9,32.5,33.7,473409
33.93,34.14,32.35,32.93,531135
34.1,34.85,32.4,33.35,628517
33.5,34.68,33.5,34.25,479616
33.8,33.95,33.12,33.55,291567
34,34.75,33.4,33.65,447121
33.55,34.84,33.51,34.1,387183
35.25,35.3,33.38,33.68,549450
35.34,35.34,34.4,34.7,253740
34.9,35.36,34.7,34.88,331032
34,35.38,33.32,34.98,649467
33.05,34.6,33.01,34,441247
33.46,33.93,33,33.35,387748
33.53,34.13,32.72,33.94,581909
33.57,34.75,33.33,34.16,508659
35.55,36,33.38,34.24,821968
36.5,36.5,35.36,35.65,463963
36.5,37.1,36.1,36.47,381993
38.08,38.08,36.65,36.78,381290
37.77,38.19,37.5,37.7,679302
38.41,38.97,37.2,37.99,549508
39.3,39.35,38.28,38.76,379932
39.77,39.77,38.5,39.25,431459
38.7,39.9,38.22,39.24,357342
39.35,39.5,38.28,38.7,234491
38.93,39.6,38.93,39.37,351945
38.55,39.3,38.55,38.93,375320
38.92,39.15,38.39,38.8,276222
38.21,39.15,37.85,38.55,498782
37.51,38.38,37.4,37.62,330318
37.7,38.4,36.89,37.9,374378
37.99,38.6,37.84,37.85,657776
37.8,38.15,37.35,37.7,319299
37.9,38.24,37.6,37.7,385912
36.45,37.89,36.13,37.48,398553
36.99,37.88,36.03,36.75,415752
37.95,37.95,36.33,37.22,495522
