countryName,pollutant,reportingYear,emissions
Denmark,Nitrogen oxides (NOX),2013,16781000
Bulgaria,Ammonia (NH3),2010,6573100
Bulgaria,Nickel and compounds (as Ni),2011,54
Bulgaria,Carbon dioxide (CO2),2012,34329000000
Bulgaria,Non-methane volatile organic compounds (NMVOC),2012,300000
Bulgaria,Ammonia (NH3),2013,8544100
Bulgaria,Nitrous oxide (N2O),2013,426100
Bulgaria,Arsenic and compounds (as As),2014,107
Bulgaria,Non-methane volatile organic compounds (NMVOC),2015,501000
Bulgaria,Ammonia (NH3),2016,11106700
Bulgaria,Nitrous oxide (N2O),2016,392400
Bulgaria,Arsenic and compounds (as As),2017,244
Bulgaria,Nickel and compounds (as Ni),2017,63.9
Bulgaria,Zinc and compounds (as Zn),2017,1756
Bulgaria,Lead and compounds (as Pb),2018,733.111
Bulgaria,Non-methane volatile organic compounds (NMVOC),2018,537472.4234
Bulgaria,Nitrous oxide (N2O),2019,335494
Bulgaria,Arsenic and compounds (as As),2020,38
Bulgaria,Carbon dioxide (CO2) excluding biomass,2020,2003188584
Bulgaria,Mercury and compounds (as Hg),2020,614
Bulgaria,Zinc and compounds (as Zn),2020,359
Bulgaria,Lead and compounds (as Pb),2021,4878
Croatia,Nitrogen oxides (NOX),2014,11563000
Croatia,Nitrous oxide (N2O),2014,893000
Croatia,Carbon monoxide (CO),2015,6836000
Croatia,Chlorine and inorganic compounds (as HCl),2017,11100
Croatia,Nitrogen oxides (NOX),2017,10575000
Croatia,Nitrous oxide (N2O),2017,397400
Croatia,Carbon monoxide (CO),2018,4418000
Croatia,Chlorine and inorganic compounds (as HCl),2020,11700
Croatia,Nitrous oxide (N2O),2020,277000
Croatia,Carbon monoxide (CO),2021,5867000
Cyprus,Nickel and compounds (as Ni),2009,10570.6
Cyprus,Particulate matter (PM10),2009,1278700
Cyprus,Carbon dioxide (CO2) excluding biomass,2012,798000000
Cyprus,Nickel and compounds (as Ni),2012,9320
Cyprus,Particulate matter (PM10),2012,561200
Cyprus,Carbon dioxide (CO2) excluding biomass,2015,4340000000
Cyprus,Cadmium and compounds (as Cd),2017,35.599999999999994
Cyprus,Carbon dioxide (CO2) excluding biomass,2018,4510000000
Cyprus,Cadmium and compounds (as Cd),2020,34.4
Cyprus,Carbon dioxide (CO2) excluding biomass,2021,4240000000
Czechia,Carbon dioxide (CO2),2007,86705000000
Czechia,Hydrogen cyanide (HCN),2007,2510
Czechia,Fluorine and inorganic compounds (as HF),2008,425200
Czechia,Nickel and compounds (as Ni),2008,6801.3
Czechia,Cadmium and compounds (as Cd),2010,531.7
